day,value
2017-08-19 13:00:00,52781.77421094813
2017-08-19 14:00:00,56627.46048463248
2017-08-19 15:00:00,60093.77128940382
2017-08-19 16:00:00,59981.5092504109
2017-08-19 17:00:00,60243.38275589588
2017-08-19 18:00:00,60995.13529059405
2017-08-19 19:00:00,58030.73298234983
2017-08-19 20:00:00,57915.40591877769
2017-08-19 21:00:00,55073.38698206412
2017-08-19 22:00:00,54097.32993201847
2017-08-19 23:00:00,53249.40158117713
2017-08-20 00:00:00,52004.82132951754
2017-08-20 01:00:00,48964.731185114804
2017-08-20 02:00:00,47341.55312522472
2017-08-20 03:00:00,46556.211335955864
2017-08-20 04:00:00,48015.22444483218
2017-08-20 05:00:00,53776.94139309569
2017-08-20 06:00:00,56776.348272045885
2017-08-20 07:00:00,58518.26476673561
2017-08-20 08:00:00,59840.345174143615
2017-08-20 09:00:00,58305.66266969222
2017-08-20 10:00:00,57011.728735926066
2017-08-20 11:00:00,57591.66549082265
2017-08-20 12:00:00,60741.66581937132
2017-08-20 13:00:00,62015.54445201633
2017-08-20 14:00:00,62870.15892156994
2017-08-20 15:00:00,63888.97563165945
2017-08-20 16:00:00,64219.22537481265
2017-08-20 17:00:00,64769.85905040335
2017-08-20 18:00:00,65875.14694136888
2017-08-20 19:00:00,64317.13027141646
2017-08-20 20:00:00,63228.16166210536
2017-08-20 21:00:00,64432.518354540254
2017-08-20 22:00:00,63134.75002596704
2017-08-20 23:00:00,62240.163362909705
2017-08-21 00:00:00,62815.10840032539
2017-08-21 01:00:00,62599.00210420377
2017-08-21 02:00:00,59268.692338001034
2017-08-21 03:00:00,59723.377490314095
2017-08-21 04:00:00,61418.781629384255
2017-08-21 05:00:00,60667.621334986194
2017-08-21 06:00:00,61022.776037935415
2017-08-21 07:00:00,61096.07083711356
2017-08-21 08:00:00,61581.158815736766
2017-08-21 09:00:00,62119.6651294336
2017-08-21 10:00:00,62872.79046413733
2017-08-21 11:00:00,64769.292875903724
2017-08-21 12:00:00,69250.10905939029
2017-08-21 13:00:00,71447.91749843214
2017-08-21 14:00:00,72320.04029939284
2017-08-21 15:00:00,71227.36739099192
2017-08-21 16:00:00,70711.2378497502
2017-08-21 17:00:00,69987.30734976867
2017-08-21 18:00:00,71029.7777487297
2017-08-21 19:00:00,72395.08900813566
2017-08-21 20:00:00,69741.35625662774
2017-08-21 21:00:00,66358.11536007145
2017-08-21 22:00:00,63344.088418178864
2017-08-21 23:00:00,61346.070026553
2017-08-22 00:00:00,58152.66751938693
2017-08-22 01:00:00,52976.90780970963
2017-08-22 02:00:00,50284.8129002667
2017-08-22 03:00:00,47076.92503358819
2017-08-22 04:00:00,43882.88188154821
2017-08-22 05:00:00,42149.295869081434
2017-08-22 06:00:00,40897.01450279349
2017-08-22 07:00:00,39193.24902611043
2017-08-22 08:00:00,38981.16829032657
2017-08-22 09:00:00,39197.0346971397
2017-08-22 10:00:00,40438.967624470126
2017-08-22 11:00:00,45499.98280363666
2017-08-22 12:00:00,50241.97650186546
2017-08-22 13:00:00,52641.22889359005
2017-08-22 14:00:00,54966.98961513101
2017-08-22 15:00:00,56428.248012748074
2017-08-22 16:00:00,57644.82929712096
2017-08-22 17:00:00,56659.164270072164
2017-08-22 18:00:00,56148.425089523895
2017-08-22 19:00:00,55335.48904686557
2017-08-22 20:00:00,54589.19314337649
2017-08-22 21:00:00,53615.84906439125
2017-08-22 22:00:00,52833.064762404
2017-08-22 23:00:00,51348.662711499375
2017-08-23 00:00:00,48896.36147325953
2017-08-23 01:00:00,46853.246720477226
2017-08-23 02:00:00,47314.661378759825
2017-08-23 03:00:00,48785.870639291934
2017-08-23 04:00:00,48864.82314442148
2017-08-23 05:00:00,45852.251955776694
2017-08-23 06:00:00,43651.467058351656
2017-08-23 07:00:00,42385.622605362085
2017-08-23 08:00:00,41032.25340310101
2017-08-23 09:00:00,41527.34277785028
2017-08-23 10:00:00,45194.498773767446
2017-08-23 11:00:00,50185.82177297789
2017-08-23 12:00:00,52174.04083938223
2017-08-23 13:00:00,51460.881922289205
2017-08-23 14:00:00,50805.54027968679
2017-08-23 15:00:00,51532.92063075507
2017-08-23 16:00:00,52758.1812860526
2017-08-23 17:00:00,53106.61088021231
2017-08-23 18:00:00,54989.86636681632
2017-08-23 19:00:00,52734.18210876543
2017-08-23 20:00:00,50802.0403349614
2017-08-23 21:00:00,48955.281583782824
2017-08-23 22:00:00,46947.05055210724
2017-08-23 23:00:00,44341.96620281047
2017-08-24 00:00:00,44005.612300708475
2017-08-24 01:00:00,41063.05199866838
2017-08-24 02:00:00,39752.15518616852
2017-08-24 03:00:00,37143.8833689641
2017-08-24 04:00:00,35599.828869416895
2017-08-24 05:00:00,34543.28559732316
2017-08-24 06:00:00,34810.16895739794
2017-08-24 07:00:00,32666.30818710328
2017-08-24 08:00:00,32027.144762038755
2017-08-24 09:00:00,32869.95978072214
2017-08-24 10:00:00,35328.03942208949
2017-08-24 11:00:00,37076.091401456106
2017-08-24 12:00:00,42743.95991869824
2017-08-24 13:00:00,46572.56583963879
2017-08-24 14:00:00,47933.85813099588
2017-08-24 15:00:00,48675.44556731048
2017-08-24 16:00:00,48465.41527543577
2017-08-24 17:00:00,45979.371603896296
2017-08-24 18:00:00,45281.02012861626
2017-08-24 19:00:00,44112.36805573444
2017-08-24 20:00:00,42984.53942820426
2017-08-24 21:00:00,42299.814809485215
2017-08-24 22:00:00,39482.1014907528
2017-08-24 23:00:00,39702.26678125357
2017-08-25 00:00:00,39334.66614813927
2017-08-25 01:00:00,38827.61185028222
2017-08-25 02:00:00,37191.131333586454
2017-08-25 03:00:00,36331.324550112426
2017-08-25 04:00:00,36661.247103105765
2017-08-25 05:00:00,38853.389075001825
2017-08-25 06:00:00,38722.30549056517
2017-08-25 07:00:00,37349.33777149325
2017-08-25 08:00:00,38225.170505465234
2017-08-25 09:00:00,38394.21386500074
2017-08-25 10:00:00,40221.1059016588
2017-08-25 11:00:00,42880.27390270068
2017-08-25 12:00:00,49232.448109218654
2017-08-25 13:00:00,51899.64745411544
2017-08-25 14:00:00,49730.884029536515
2017-08-25 15:00:00,49254.96626575456
2017-08-25 16:00:00,48524.47615195765
2017-08-25 17:00:00,48273.08870520186
2017-08-25 18:00:00,46854.95106674307
2017-08-25 19:00:00,45830.06222289914
2017-08-25 20:00:00,44220.1394687732
2017-08-25 21:00:00,41878.96464687738
2017-08-25 22:00:00,41008.74727162044
2017-08-25 23:00:00,39469.77930216101
2017-08-26 00:00:00,38486.169178957636
2017-08-26 01:00:00,36773.84745753378
2017-08-26 02:00:00,34628.86748727748
2017-08-26 03:00:00,33212.86164852855
2017-08-26 04:00:00,31790.12508597387
2017-08-26 05:00:00,30225.703904100377
2017-08-26 06:00:00,29619.116368155886
2017-08-26 07:00:00,28309.42833370798
2017-08-26 08:00:00,28512.684866940785
2017-08-26 09:00:00,27786.656455570217
2017-08-26 10:00:00,30142.723594069754
2017-08-26 11:00:00,30757.55591331734
2017-08-26 12:00:00,32726.07903968049
2017-08-26 13:00:00,35167.50769904401
2017-08-26 14:00:00,36047.20937908239
2017-08-26 15:00:00,36942.070873595425
2017-08-26 16:00:00,35937.49743376312
2017-08-26 17:00:00,37585.028613078306
2017-08-26 18:00:00,36539.30295825332
2017-08-26 19:00:00,35659.6229095634
2017-08-26 20:00:00,36090.70737675848
2017-08-26 21:00:00,33363.40620662286
2017-08-26 22:00:00,34632.15176239864
2017-08-26 23:00:00,33879.628543807565
2017-08-27 00:00:00,34465.000228698074
2017-08-27 01:00:00,33801.00030796913
2017-08-27 02:00:00,32544.899425768792
2017-08-27 03:00:00,31930.575597848445
2017-08-27 04:00:00,30180.131216408437
2017-08-27 05:00:00,29940.407728242433
2017-08-27 06:00:00,28213.562464011386
2017-08-27 07:00:00,27595.129398245073
2017-08-27 08:00:00,26544.41035195411
2017-08-27 09:00:00,27304.61636250608
2017-08-27 10:00:00,26988.07704275239
2017-08-27 11:00:00,29045.70614488745
2017-08-27 12:00:00,31498.161943030907
2017-08-27 13:00:00,34344.04612849501
2017-08-27 14:00:00,36364.32470255795
2017-08-27 15:00:00,38275.94374939306
2017-08-27 16:00:00,39382.00004920531
2017-08-27 17:00:00,38694.868141280036
2017-08-27 18:00:00,37503.938355789105
2017-08-27 19:00:00,36479.04357602502
2017-08-27 20:00:00,34803.45129899958
2017-08-27 21:00:00,34969.783735011195
2017-08-27 22:00:00,33322.13912607808
2017-08-27 23:00:00,33066.85724337502
2017-08-28 00:00:00,31856.948730780146
2017-08-28 01:00:00,31424.52041246612
2017-08-28 02:00:00,31258.483141043438
2017-08-28 03:00:00,34170.39213235589
2017-08-28 04:00:00,37772.66488877434
2017-08-28 05:00:00,37216.709235628376
2017-08-28 06:00:00,35462.21985890836
2017-08-28 07:00:00,35729.35758458358
2017-08-28 08:00:00,37469.80403154771
2017-08-28 09:00:00,38128.3129156299
2017-08-28 10:00:00,39803.5801473278
2017-08-28 11:00:00,37562.55588332882
2017-08-28 12:00:00,37857.51701702866
2017-08-28 13:00:00,39085.68430998703
2017-08-28 14:00:00,38874.182189513805
2017-08-28 15:00:00,38437.7635354361
2017-08-28 16:00:00,39350.31283490831
2017-08-28 17:00:00,39423.94092931642
2017-08-28 18:00:00,38361.293540533334
2017-08-28 19:00:00,37538.38145866534
2017-08-28 20:00:00,36183.37610184385
2017-08-28 21:00:00,35287.55740621029
2017-08-28 22:00:00,33452.91363314159
2017-08-28 23:00:00,32902.20180397269
2017-08-29 00:00:00,32245.567564733705
2017-08-29 01:00:00,31323.444061683625
2017-08-29 02:00:00,32154.438809314204
2017-08-29 03:00:00,34768.8251827162
2017-08-29 04:00:00,36442.76209452513
2017-08-29 05:00:00,36998.2224197994
2017-08-29 06:00:00,37432.57536990583
2017-08-29 07:00:00,37141.90818403358
2017-08-29 08:00:00,38094.41686949093
2017-08-29 09:00:00,38291.469982262104
2017-08-29 10:00:00,39049.88792278129
2017-08-29 11:00:00,40026.77831306634
2017-08-29 12:00:00,41217.01866395164
2017-08-29 13:00:00,44418.21556093441
2017-08-29 14:00:00,44872.34813351261
2017-08-29 15:00:00,46402.38442389405
2017-08-29 16:00:00,47087.373183618496
2017-08-29 17:00:00,45474.85268937336
2017-08-29 18:00:00,44087.4852041453
2017-08-29 19:00:00,42758.728847313745
2017-08-29 20:00:00,41373.78062475411
2017-08-29 21:00:00,40989.97125640321
2017-08-29 22:00:00,39228.45927544732
2017-08-29 23:00:00,38536.68507957991
2017-08-30 00:00:00,37259.39805307238
2017-08-30 01:00:00,35997.59437192343
2017-08-30 02:00:00,34574.97926066291
2017-08-30 03:00:00,33338.38994693427
2017-08-30 04:00:00,32066.644415695984
2017-08-30 05:00:00,32152.400030026518
2017-08-30 06:00:00,30858.22537200384
2017-08-30 07:00:00,30883.43864025866
2017-08-30 08:00:00,30173.47341390472
2017-08-30 09:00:00,30590.737659545543
2017-08-30 10:00:00,31537.320489309186
2017-08-30 11:00:00,34090.48307620639
2017-08-30 12:00:00,37577.39696642625
2017-08-30 13:00:00,38394.82997601168
2017-08-30 14:00:00,39106.48250801182
2017-08-30 15:00:00,41410.5062709808
2017-08-30 16:00:00,39597.08257188871
2017-08-30 17:00:00,39921.652434710595
2017-08-30 18:00:00,39331.59810323028
2017-08-30 19:00:00,40281.20594736806
2017-08-30 20:00:00,38778.06880289464
2017-08-30 21:00:00,37869.57973022985
2017-08-30 22:00:00,37290.34204266511
2017-08-30 23:00:00,36794.432641541694
2017-08-31 00:00:00,35974.68015971623
2017-08-31 01:00:00,35204.705829240054
2017-08-31 02:00:00,34470.54960620651
2017-08-31 03:00:00,33183.97505959068
2017-08-31 04:00:00,33901.274847175395
2017-08-31 05:00:00,32379.816564096505
2017-08-31 06:00:00,31959.825691394
2017-08-31 07:00:00,32620.089258656957
2017-08-31 08:00:00,32414.828262463296
2017-08-31 09:00:00,33609.005368553684
2017-08-31 10:00:00,33471.80853106347
2017-08-31 11:00:00,35288.21192324535
2017-08-31 12:00:00,37695.826778668044
2017-08-31 13:00:00,40204.486887126535
2017-08-31 14:00:00,41330.47376803096
2017-08-31 15:00:00,41402.25868853364
2017-08-31 16:00:00,42446.53249712291
2017-08-31 17:00:00,41086.931056322326
2017-08-31 18:00:00,41232.82856576211
2017-08-31 19:00:00,41931.66840679324
2017-08-31 20:00:00,40960.48224683103
2017-08-31 21:00:00,41426.98018947712
2017-08-31 22:00:00,40632.55654777743
2017-08-31 23:00:00,45166.7503547597
2017-09-01 00:00:00,49857.122190718655
2017-09-01 01:00:00,48270.601015344706
2017-09-01 02:00:00,45344.76985181739
2017-09-01 03:00:00,43240.32774935872
2017-09-01 04:00:00,42331.855654593746
2017-09-01 05:00:00,41138.01380659271
2017-09-01 06:00:00,41273.27389312945
2017-09-01 07:00:00,40082.20042839096
2017-09-01 08:00:00,40995.86997998229
2017-09-01 09:00:00,42123.96285916197
2017-09-01 10:00:00,45051.290938224585
2017-09-01 11:00:00,46244.06368272003
2017-09-01 12:00:00,47860.71583205465
2017-09-01 13:00:00,50380.48711833617
2017-09-01 14:00:00,52132.18743778318
2017-09-01 15:00:00,52414.06910897708
2017-09-01 16:00:00,54808.64135434479
2017-09-01 17:00:00,53975.89539728508
2017-09-01 18:00:00,54754.59969378576
2017-09-01 19:00:00,52126.124789701564
2017-09-01 20:00:00,49795.89168049196
2017-09-01 21:00:00,48174.3874993972
2017-09-01 22:00:00,46757.89593882414
2017-09-01 23:00:00,45224.45791422058
2017-09-02 00:00:00,43449.46929229228
2017-09-02 01:00:00,40090.72407445462
2017-09-02 02:00:00,38709.87956414782
2017-09-02 03:00:00,38091.510793908565
2017-09-02 04:00:00,37148.980629245285
2017-09-02 05:00:00,35897.281877255904
2017-09-02 06:00:00,36122.82074366535
2017-09-02 07:00:00,33798.02392058564
2017-09-02 08:00:00,33746.565463534476
2017-09-02 09:00:00,34606.21899993802
2017-09-02 10:00:00,36674.20958316533
2017-09-02 11:00:00,37815.519070197006
2017-09-02 12:00:00,39184.06322815329
2017-09-02 13:00:00,40523.36390347927
2017-09-02 14:00:00,40048.46883222046
2017-09-02 15:00:00,41913.0145108518
2017-09-02 16:00:00,42372.31076171781
2017-09-02 17:00:00,41616.81223447276
2017-09-02 18:00:00,40630.325560992314
2017-09-02 19:00:00,43294.35301857368
2017-09-02 20:00:00,41641.56680825972
2017-09-02 21:00:00,41038.63065332494
2017-09-02 22:00:00,41130.33468244508
2017-09-02 23:00:00,39203.925176063385
2017-09-03 00:00:00,37744.47018482862
2017-09-03 01:00:00,35677.72956923268
2017-09-03 02:00:00,34678.52233158589
2017-09-03 03:00:00,33427.59271277047
2017-09-03 04:00:00,32181.470217351336
2017-09-03 05:00:00,31093.98455305582
2017-09-03 06:00:00,29587.940127609923
2017-09-03 07:00:00,28460.84257812561
2017-09-03 08:00:00,28122.41886166744
2017-09-03 09:00:00,28567.275813245295
2017-09-03 10:00:00,28604.451234626515
2017-09-03 11:00:00,29039.068898747264
2017-09-03 12:00:00,30287.565488487697
2017-09-03 13:00:00,29931.83419059453
2017-09-03 14:00:00,30071.439912144902
2017-09-03 15:00:00,29254.48104146307
2017-09-03 16:00:00,30440.648705667685
2017-09-03 17:00:00,30919.760991508363
2017-09-03 18:00:00,30526.492088829677
2017-09-03 19:00:00,29718.540976582633
2017-09-03 20:00:00,28420.616856299708
2017-09-03 21:00:00,27619.38985931239
2017-09-03 22:00:00,26726.98927065101
2017-09-03 23:00:00,26517.05884233064
2017-09-04 00:00:00,25138.774572380364
2017-09-04 01:00:00,24023.850362945588
2017-09-04 02:00:00,23366.27838460653
2017-09-04 03:00:00,22884.62325255583
2017-09-04 04:00:00,22653.60570236386
2017-09-04 05:00:00,21879.45703380096
2017-09-04 06:00:00,20905.21427315932
2017-09-04 07:00:00,20984.965014091908
2017-09-04 08:00:00,20890.599692043957
2017-09-04 09:00:00,20233.47158106226
2017-09-04 10:00:00,20589.056728039133
2017-09-04 11:00:00,22235.538231291037
2017-09-04 12:00:00,22652.32247773006
2017-09-04 13:00:00,25838.32660992698
2017-09-04 14:00:00,26659.53417535616
2017-09-04 15:00:00,26519.40386129415
2017-09-04 16:00:00,27020.97157067823
2017-09-04 17:00:00,26206.21594913325
2017-09-04 18:00:00,25513.750279358042
2017-09-04 19:00:00,24789.33076371128
2017-09-04 20:00:00,24440.676005305788
2017-09-04 21:00:00,24102.919628167816
2017-09-04 22:00:00,23001.46161314033
2017-09-04 23:00:00,22705.288241622944
2017-09-05 00:00:00,22089.388955419858
2017-09-05 01:00:00,21708.880911258748
2017-09-05 02:00:00,21647.42933672475
2017-09-05 03:00:00,21428.05343630592
2017-09-05 04:00:00,21053.33911241399
2017-09-05 05:00:00,20438.05627931324
2017-09-05 06:00:00,20613.979543174974
2017-09-05 07:00:00,20431.462250586043
2017-09-05 08:00:00,20784.7359474814
2017-09-05 09:00:00,21232.074950129783
2017-09-05 10:00:00,20720.92913441567
2017-09-05 11:00:00,22787.022560271307
2017-09-05 12:00:00,23680.84058216536
2017-09-05 13:00:00,25692.196815811487
2017-09-05 14:00:00,26464.02619033074
2017-09-05 15:00:00,26557.76277610974
2017-09-05 16:00:00,26758.937622118745
2017-09-05 17:00:00,26528.80781902464
