day,l6,kun
2017-09-15 11:00:00,8.737250002787366,12.103555557198344
2017-09-15 12:00:00,9.015916673688334,12.25700000316247
2017-09-15 13:00:00,9.548316664717575,12.467555550966235
2017-09-15 14:00:00,8.894933328023843,11.849999998604122
2017-09-15 15:00:00,7.674499994273866,11.116666657820929
2017-09-15 16:00:00,6.665733328843582,9.642555553754828
2017-09-15 17:00:00,5.461733329750909,9.26799999962738
2017-09-15 18:00:00,5.421516667384246,8.965333327181032
2017-09-15 19:00:00,5.287883332852923,7.9004444430768395
2017-09-15 20:00:00,4.7812999961381,7.716666666200147
2017-09-15 21:00:00,3.645433328079443,7.475444441675566
2017-09-15 22:00:00,3.87203333603097,7.08333333520059
2017-09-15 23:00:00,3.734200000855074,7.558333333800173
2017-09-16 00:00:00,4.198266666544896,7.5767777765004105
2017-09-16 01:00:00,4.049249999999992,7.557444446250998
2017-09-16 02:00:00,3.9872833330905033,7.815777778650245
2017-09-16 03:00:00,3.6742499980358527,7.5991111096459
2017-09-16 04:00:00,3.598250000982905,7.590333335579363
2017-09-16 05:00:00,3.5871999983993867,7.660999997847183
2017-09-16 06:00:00,3.332583334200029,7.541666666198172
2017-09-16 07:00:00,3.72596666740234,7.718000001030118
2017-09-16 08:00:00,4.0661666705797606,8.182888893543401
2017-09-16 09:00:00,4.803433336001056,9.264000004968931
2017-09-16 10:00:00,5.675233340279871,9.447777784658197
2017-09-16 11:00:00,7.574250002250359,10.936444442317928
2017-09-16 12:00:00,7.108216668319376,10.478444444570197
2017-09-16 13:00:00,6.134433319313064,9.272444430296686
2017-09-16 14:00:00,4.362133334188555,7.783333335212185
2017-09-16 15:00:00,4.541533331256411,8.149111109638639
2017-09-16 16:00:00,4.0753166656843725,7.8162222217206
2017-09-16 17:00:00,4.110299999633102,7.650888888951704
2017-09-16 18:00:00,4.125966667405185,7.900000001411138
2017-09-16 19:00:00,4.262466666911251,8.141222223131955
2017-09-16 20:00:00,4.120816665682555,8.158777776867517
2017-09-16 21:00:00,3.8487166649333977,8.016666666195697
2017-09-16 22:00:00,3.4376833318446334,7.691222220306236
2017-09-16 23:00:00,3.4887833335831036,7.416222221719506
2017-09-17 00:00:00,3.1816499953595625,7.383333330975092
2017-09-17 01:00:00,2.3770333324510657,6.8245555541089615
2017-09-17 02:00:00,1.8578666642505874,6.382888885082249
2017-09-17 03:00:00,1.545749997946313,5.517555553730276
2017-09-17 04:00:00,1.2728666674366602,5.44670698453317
2017-09-17 05:00:00,1.5259666670540226,5.665905230809864
2017-09-17 06:00:00,1.536066667309264,5.674632152639351
2017-09-17 07:00:00,1.4107166656362204,5.584834849457202
2017-09-17 08:00:00,1.3307999957285097,5.518002372126636
2017-09-17 09:00:00,0.6258333338538112,5.29941955520821
2017-09-17 10:00:00,1.3434666745102855,5.994444449966969
2017-09-17 11:00:00,3.197216675933716,7.685000008996142
2017-09-17 12:00:00,5.275083339822727,9.76777778614569
2017-09-17 13:00:00,6.2895333394845565,10.736111114270459
2017-09-17 14:00:00,6.670116662816915,9.984999992416597
2017-09-17 15:00:00,5.74363332736618,9.054444440018248
2017-09-17 16:00:00,4.420499995302867,8.233333328588937
2017-09-17 17:00:00,3.799683331833444,7.256111108580061
2017-09-17 18:00:00,3.2567166659167737,7.26000000189914
2017-09-17 19:00:00,3.5513333352095495,7.560555555713725
2017-09-17 20:00:00,3.7944999999999403,7.5000000000001
2017-09-17 21:00:00,3.6206999983741497,7.513888890473201
2017-09-17 22:00:00,3.453733332957465,7.573888887620935
2017-09-17 23:00:00,3.3384499998716017,7.210383185759149
2017-09-18 00:00:00,3.2702499978582384,6.972231030963285
2017-09-18 01:00:00,2.3750833290011055,6.313056216419817
2017-09-18 02:00:00,2.013749999999881,6.025317299554947
2017-09-18 03:00:00,1.660366664084274,5.765380548741536
2017-09-18 04:00:00,1.0065833302117029,5.281392072259508
2017-09-18 05:00:00,0.528083332284588,4.930988825304956
2017-09-18 06:00:00,0.969416672653352,5.2620771790639305
2017-09-18 07:00:00,2.5002833389542944,6.51158059990772
2017-09-18 08:00:00,3.7309000064013156,8.274666673445267
2017-09-18 09:00:00,5.857483344129636,9.854666677745474
2017-09-18 10:00:00,7.550350014089004,11.508000003438852
2017-09-18 11:00:00,9.945500002939834,12.169333334002221
2017-09-18 12:00:00,9.40466666771952,12.383333335724314
2017-09-18 13:00:00,9.828116658765461,12.255666664562586
2017-09-18 14:00:00,9.204700006617458,12.207333333141795
2017-09-18 15:00:00,9.53029999941215,11.823999994544009
2017-09-18 16:00:00,8.724916653211553,10.38033332797129
2017-09-18 17:00:00,6.540749993677076,9.582999994826965
2017-09-18 18:00:00,5.606816663220889,8.588666663696399
2017-09-18 19:00:00,5.0875166665421885,8.258999998849347
2017-09-18 20:00:00,4.895566665305029,8.185333336594436
2017-09-18 21:00:00,4.694866665793679,8.512666663980093
2017-09-18 22:00:00,4.4138833323354,8.050333332277738
2017-09-18 23:00:00,4.069616665793095,7.879333331124091
2017-09-19 00:00:00,3.9108166651590186,7.364333332564749
2017-09-19 01:00:00,3.5280166650288267,7.330666665994179
2017-09-19 02:00:00,3.438433332319182,7.201666665705354
2017-09-19 03:00:00,3.3833166650124085,6.736333331987343
2017-09-19 04:00:00,2.9805000031751825,6.443333329966071
2017-09-19 05:00:00,2.8129499950352708,6.057333334584145
2017-09-19 06:00:00,2.5394666702393245,6.37300000057744
2017-09-19 07:00:00,4.405066677434158,7.492666676971687
2017-09-19 08:00:00,7.0873833498179115,9.039000008960828
2017-09-19 09:00:00,9.483533340095311,11.448333341524311
2017-09-19 10:00:00,10.474349996572029,11.543999997397552
2017-09-19 11:00:00,9.758300003313455,11.901333336322864
2017-09-19 12:00:00,10.385200002475418,12.50100000260526
2017-09-19 13:00:00,10.738549997524318,13.470333335166426
